Date,Strategy_Value,Benchmark_Value
2024-02-05 00:00:00-05:00,208740.13798416223,207531.51785263952
2024-02-12 00:00:00-05:00,207827.29993586388,203536.2842140361
2024-02-19 00:00:00-05:00,205867.54821479655,203181.5040498423
2024-02-26 00:00:00-05:00,208694.02390752154,208395.44462627298
2024-03-04 00:00:00-05:00,210466.9180523325,210848.5930905763
2024-03-11 00:00:00-04:00,208130.2691580045,212297.3313771917
2024-03-18 00:00:00-04:00,208229.54614808314,215458.44391470827
2024-03-25 00:00:00-04:00,212385.94164248454,222608.26579177412
2024-04-01 00:00:00-04:00,212737.80111880007,223796.0603011572
2024-04-08 00:00:00-04:00,222802.48500875075,233806.15143432154
2024-04-15 00:00:00-04:00,227152.67212139763,239074.6894252009
2024-04-22 00:00:00-04:00,223323.53042702467,233579.0017713161
2024-04-29 00:00:00-04:00,231778.73589572852,238797.13002378528
2024-05-06 00:00:00-04:00,230818.32377441428,235445.01107743746
2024-05-13 00:00:00-04:00,232440.33537229174,235596.06219534605
2024-05-20 00:00:00-04:00,234121.76628842042,235420.64410775213
2024-05-27 00:00:00-04:00,226487.93076326832,232935.4499561659
2024-06-03 00:00:00-04:00,227657.4628689139,231946.24601783307
2024-06-10 00:00:00-04:00,221086.96107557867,222995.649904692
2024-06-17 00:00:00-04:00,218600.8060372317,223279.5461829443
2024-06-24 00:00:00-04:00,214675.94443431497,219043.71346679112
2024-07-01 00:00:00-04:00,220275.52639985882,226465.1059634869
2024-07-08 00:00:00-04:00,224066.27797386062,228853.88626921093
2024-07-15 00:00:00-04:00,221831.86137508161,225135.286092979
2024-07-22 00:00:00-04:00,223728.7119836921,230003.59705917418
2024-07-29 00:00:00-04:00,219741.5105719957,223801.04315570218
2024-08-05 00:00:00-04:00,218997.5517512313,224637.1360130033
2024-08-12 00:00:00-04:00,211095.10094312375,214836.75040245545
2024-08-19 00:00:00-04:00,222417.66413373477,224393.05253305298
2024-08-26 00:00:00-04:00,222680.7175396879,223562.25610451374
2024-09-02 00:00:00-04:00,229712.11339444216,229286.29343716346
2024-09-09 00:00:00-04:00,220612.0421131166,221356.92380743258
2024-09-16 00:00:00-04:00,211232.15632614598,209638.7347135613
2024-09-23 00:00:00-04:00,218353.55923989095,216757.78458352305
2024-09-30 00:00:00-04:00,221612.23363380472,221571.845479758
2024-10-07 00:00:00-04:00,217640.49138550297,220022.06279328748
2024-10-14 00:00:00-04:00,220900.14437634023,225428.81481417464
2024-10-21 00:00:00-04:00,213099.43479077882,217405.1332918591
2024-10-28 00:00:00-04:00,213846.31080025414,218815.5822782843
2024-11-04 00:00:00-05:00,206957.6003003739,211967.99083953738
2024-11-11 00:00:00-05:00,208465.1980610615,215018.70208084676
2024-11-18 00:00:00-05:00,204310.21972113528,215380.56091634076
2024-11-25 00:00:00-05:00,210433.83189096497,219951.7719665102
2024-12-02 00:00:00-05:00,208610.0886358712,216517.7289109181
2024-12-09 00:00:00-05:00,207600.84591394357,216494.8354107529
2024-12-16 00:00:00-05:00,207503.07898188318,210431.52901544792
2024-12-23 00:00:00-05:00,200081.0158315832,202723.3411023649
2024-12-30 00:00:00-05:00,197078.22345200463,200395.67160183514
2025-01-06 00:00:00-05:00,201092.0227736764,204437.11389437667
2025-01-13 00:00:00-05:00,212170.3300949241,214030.10885095934
2025-01-20 00:00:00-05:00,212698.7176385024,217386.71252988477
2025-01-27 00:00:00-05:00,216187.528491252,218785.635797702
2025-02-03 00:00:00-05:00,212916.54225974178,212902.0985548866
2025-02-10 00:00:00-05:00,216330.83584243633,213298.27260233066
2025-02-17 00:00:00-05:00,223800.11017513915,218095.11910802394
2025-02-24 00:00:00-05:00,228687.89931074437,218040.06934700816
2025-03-03 00:00:00-05:00,222861.95708561107,214092.67705830268
2025-03-10 00:00:00-04:00,211696.41399246914,203315.05212849283
2025-03-17 00:00:00-04:00,213013.56390678108,206838.36029703316
2025-03-24 00:00:00-04:00,227156.85039931085,217070.19402976497
2025-03-31 00:00:00-04:00,231016.23163746123,222942.34456995706
2025-04-07 00:00:00-04:00,232805.92629459852,225328.03145191033
2025-04-14 00:00:00-04:00,186808.1796802097,179346.56066918647
2025-04-21 00:00:00-04:00,192821.8785552841,186238.66054421224
2025-04-28 00:00:00-04:00,202310.50431763096,195874.86374214865
2025-05-05 00:00:00-04:00,201090.35391993477,196480.7936212501
2025-05-12 00:00:00-04:00,198951.3465438853,191908.77005338355
2025-05-19 00:00:00-04:00,210360.71976330876,206017.51554394342
2025-05-26 00:00:00-04:00,206588.6294650734,199668.12175392476
2025-06-02 00:00:00-04:00,205804.93055157678,198413.87196370043
